command,mean,stddev,median,user,system,min,max,parameter_NAME
./prng-dump -l 1 MRG32k3a,0.057164589277777775,0.002056280784370494,0.056907444,0.053838148148148156,0.0021705555555555553,0.053447368,0.065248453,MRG32k3a
./prng-dump -l 1 aes128_ctr_128,0.01813529998701298,0.004111053915368771,0.017652550500000003,0.01529473376623377,0.0023635194805194807,0.016205006,0.063520045,aes128_ctr_128
./prng-dump -l 1 aes128_ctr_64,0.03123780225555555,0.0008703216903387006,0.031098943500000004,0.028430233333333336,0.0020358666666666666,0.028985109000000002,0.033991892,aes128_ctr_64
./prng-dump -l 1 biski64,0.06444184193750001,0.0014943551806709905,0.0643340275,0.061104937500000005,0.002238458333333333,0.061085891,0.070233901,biski64
./prng-dump -l 1 clmulrand,0.05276346996428573,0.0016575709592870683,0.0522002035,0.049602303571428585,0.002372357142857142,0.050211893,0.059021068,clmulrand
./prng-dump -l 1 degski32,0.030422317543689313,0.0011558512906372515,0.030245961000000002,0.027615378640776688,0.0022323495145631068,0.028279701,0.035832756,degski32
./prng-dump -l 1 degski64,0.05828825824528304,0.0027247991340140242,0.058089925,0.055195660377358506,0.0019075283018867935,0.05482647,0.07487012700000001,degski64
./prng-dump -l 1 ettinger_mixer,0.10557475803571426,0.002321027904817709,0.10541941,0.10106350000000001,0.0028131785714285715,0.10263037500000001,0.11447173000000001,ettinger_mixer
./prng-dump -l 1 gjrand,0.14438821871428573,0.002672627767895245,0.143994977,0.1396322857142857,0.0028656666666666665,0.13936230500000002,0.14936912300000002,gjrand
./prng-dump -l 1 jsf32_2,0.16883418033333333,0.0030794986002463014,0.168315501,0.16428727777777782,0.002799166666666667,0.16494688200000002,0.176424475,jsf32_2
./prng-dump -l 1 jsf32_3,0.19651819886666672,0.003465385145448106,0.195423743,0.19148213333333333,0.0027425333333333333,0.19216386600000002,0.204420761,jsf32_3
./prng-dump -l 1 jsf64,0.10009314038709677,0.00247864126864078,0.099308221,0.09576803225806453,0.002825290322580645,0.096558082,0.10875196000000001,jsf64
./prng-dump -l 1 klimov_shamir_32,0.06963263878571431,0.0015868812509223416,0.069475485,0.0656862380952381,0.002847214285714285,0.06662166900000001,0.07386909300000001,klimov_shamir_32
./prng-dump -l 1 lcg32,0.3204368035,0.005258125597067715,0.3194061575,0.31491709999999995,0.002223,0.314340204,0.331725044,lcg32
./prng-dump -l 1 lcg64,0.16364279138888888,0.0025019904296403,0.1625236,0.15885294444444445,0.002698,0.15973847200000002,0.169230985,lcg64
./prng-dump -l 1 lea64,0.05669743326415092,0.0026884094307865545,0.056496098,0.052823679245283,0.002571698113207547,0.051783285000000005,0.07149922900000001,lea64
./prng-dump -l 1 lehmer64,0.13314563354545453,0.0021635046000925864,0.132794602,0.12853927272727272,0.0030218181818181815,0.129385139,0.13855683500000002,lehmer64
./prng-dump -l 1 lxm,0.15425563689473684,0.002558413186189894,0.15480867,0.14955852631578942,0.002928894736842106,0.14944700600000002,0.158030111,lxm
./prng-dump -l 1 mcg128,0.1610760008888889,0.0020543281914544094,0.160538637,0.15475488888888886,0.00449261111111111,0.1581094,0.16662211000000002,mcg128
./prng-dump -l 1 moremur,0.05844879917307691,0.0021210754333560746,0.0581692015,0.0548318076923077,0.0025913846153846156,0.054942759,0.06701085400000001,moremur
./prng-dump -l 1 msws32,0.263047052,0.006259558686718347,0.26113827100000003,0.25707572727272726,0.0029049999999999996,0.254522908,0.27341021200000004,msws32
./prng-dump -l 1 msws64,0.1340936759090909,0.0025504578046635,0.13343770900000002,0.1297016818181818,0.002857045454545455,0.130542125,0.14039753000000002,msws64
./prng-dump -l 1 mumx_mumx_rrxx_1,0.09023190181818186,0.002833296734133474,0.09003664700000001,0.08581218181818183,0.0029584848484848483,0.08636334700000001,0.10269591900000001,mumx_mumx_rrxx_1
